Recording Date,weight (kg),sets(s),reps(s)
6/10/2024 7:07 AM,40,4,7
5/21/2024 7:30 PM,40,4,7
5/9/2024 9:05 AM,40,4,7
4/16/2024 7:59 PM,40,4,6
4/7/2024 12:56 PM,40,4,6
4/2/2024 5:16 PM,40,4,6
3/23/2024 10:59 AM,40,4,7
3/13/2024 7:45 AM,40,4,6
3/4/2024 8:26 PM,40,4,6
2/21/2024 6:19 PM,35,4,8
2/19/2024 6:23 PM,35,4,8
1/11/2024 4:45 PM,35,4,7
1/8/2024 8:35 PM,35,4,7
1/2/2024 3:24 PM,35,4,7
12/31/2023 11:29 AM,35,4,7
12/25/2023 11:55 AM,35,4,6
12/24/2023 9:51 AM,35,4,6
12/23/2023 9:42 AM,35,4,6
12/21/2023 7:05 AM,35,4,6
12/18/2023 7:30 AM,35,4,6
12/14/2023 3:00 PM,35,4,6
12/12/2023 5:30 AM,35,4,6
12/10/2023 10:35 AM,30,4,8
12/6/2023 7:52 AM,30,4,6
12/5/2023 6:10 PM,30,4,6
12/3/2023 1:10 PM,30,4,6
12/2/2023 9:54 AM,30,4,6
11/29/2023 4:37 PM,30,4,6
11/25/2023 2:32 PM,30,4,6
11/23/2023 7:00 AM,30,4,6
11/11/2023 1:09 PM,30,3,6
11/2/2023 5:51 AM,20,3,6
