Recording Date,gelatinpowder (g)
12/19/2024 8:59 PM,15
12/17/2024 8:00 PM,15
12/15/2024 12:50 PM,15
12/7/2024 11:43 AM,15
12/2/2024 11:08 PM,15
11/30/2024 7:03 PM,15
11/26/2024 8:30 PM,15
11/22/2024 9:35 PM,15
11/20/2024 9:39 PM,15
11/18/2024 8:17 PM,15
11/16/2024 11:22 AM,15
11/13/2024 12:04 PM,15
11/10/2024 4:32 PM,15
11/6/2024 11:00 PM,15
11/4/2024 9:11 PM,15
11/2/2024 6:43 PM,15
10/30/2024 9:24 AM,15
10/28/2024 9:59 PM,15
10/21/2024 9:49 PM,15
10/13/2024 10:18 PM,15
10/7/2024 10:14 PM,15
10/1/2024 9:42 PM,15
9/25/2024 11:18 PM,15
9/22/2024 1:45 PM,15
9/16/2024 7:57 PM,15
9/14/2024 12:04 PM,15
9/10/2024 6:27 PM,15
8/27/2024 9:53 PM,15
8/25/2024 6:55 PM,15
8/4/2024 2:05 PM,15
7/9/2024 8:36 AM,15
6/17/2024 8:28 PM,15
5/27/2024 9:49 PM,15
5/23/2024 10:24 PM,15
5/16/2024 7:13 PM,15
5/10/2024 7:48 PM,15
4/29/2024 8:37 PM,15
4/26/2024 10:04 PM,15
4/22/2024 7:37 PM,15
4/20/2024 6:45 AM,15
4/15/2024 8:18 AM,15
4/11/2024 10:09 PM,15
4/8/2024 9:21 PM,15
3/31/2024 8:18 AM,15
3/27/2024 6:47 PM,15
3/18/2024 9:12 PM,15
3/15/2024 8:55 PM,15
3/12/2024 8:40 PM,15
3/9/2024 12:43 PM,15
3/6/2024 9:20 PM,15
3/3/2024 10:52 PM,15
2/29/2024 5:40 AM,15
2/26/2024 8:14 AM,15
2/23/2024 6:40 AM,15
2/20/2024 8:16 PM,15
2/17/2024 11:26 AM,15
2/14/2024 8:49 PM,15
2/11/2024 8:08 AM,15
1/26/2024 10:00 AM,15
12/18/2023 5:42 AM,15
12/12/2023 4:49 AM,15
12/6/2023 5:30 AM,15
12/3/2023 12:00 PM,15
11/26/2023 8:51 AM,15
11/8/2023 4:38 AM,15
5/31/2023 7:40 AM,15
5/20/2023 1:16 PM,15
5/12/2023 12:00 PM,15
5/9/2023 7:28 AM,15
5/3/2023 7:33 AM,15
4/29/2023 3:15 PM,15
4/23/2023 12:01 PM,15
4/14/2023 10:20 AM,15
4/8/2023 9:46 AM,15
4/5/2023 5:27 PM,15
4/2/2023 10:31 PM,15
3/17/2023 9:37 PM,15
3/9/2023 10:19 PM,15
3/5/2023 9:19 PM,15
3/3/2023 10:24 AM,15
2/23/2023 9:48 PM,15
2/18/2023 12:14 PM,15
2/13/2023 6:31 AM,15
2/10/2023 7:00 PM,15
2/7/2023 7:28 AM,15
2/4/2023 4:41 PM,15
2/1/2023 8:14 AM,15
1/29/2023 3:37 PM,15
1/26/2023 10:51 PM,15
1/22/2023 10:10 PM,15
1/18/2023 7:30 AM,15
1/14/2023 8:09 PM,15
1/9/2023 10:27 PM,15
1/5/2023 8:26 PM,15
1/2/2023 9:21 PM,15
12/31/2022 5:01 PM,15
12/29/2022 7:50 AM,15
12/23/2022 3:15 PM,15
12/20/2022 8:39 AM,15
12/12/2022 7:30 PM,15
12/9/2022 8:45 AM,15
12/5/2022 9:06 PM,15
12/3/2022 1:20 PM,15
11/30/2022 6:39 PM,15
11/27/2022 9:08 PM,15
11/24/2022 9:37 PM,15
11/21/2022 4:51 AM,15
11/18/2022 7:05 AM,15
11/16/2022 5:25 AM,15
11/14/2022 4:55 AM,15
11/11/2022 8:36 AM,15
11/09/2022 4:18 AM,15
11/08/2022 4:47 AM,15
11/06/2022 8:38 AM,15
11/05/2022 7:44 AM,15
11/03/2022 6:17 AM,15
11/02/2022 6:25 AM,15
11/01/2022 6:09 PM,15
