Recording Date,set(s),duration (s),rest (s)
6/24/2024 3:31 PM,4,30,30
6/20/2024 8:25 AM,4,30,30
6/19/2024 1:41 PM,4,30,30
6/18/2024 4:26 PM,4,30,30
6/17/2024 10:07 PM,4,30,30
6/17/2024 9:44 AM,4,30,30
6/16/2024 1:42 PM,4,30,30
6/14/2024 3:55 PM,4,30,30
6/14/2024 9:22 AM,10,30,30
6/11/2024 1:59 PM,4,30,30
6/11/2024 8:45 AM,4,30,30
6/10/2024 2:16 PM,4,30,30
6/7/2024 8:35 AM,4,30,30
5/30/2024 12:54 PM,4,30,30
5/29/2024 5:05 PM,4,30,30
5/28/2024 2:24 PM,4,30,30
5/27/2024 10:56 PM,4,30,30
5/27/2024 10:00 AM,4,30,30
5/24/2024 4:11 PM,4,30,30
5/24/2024 10:12 AM,4,30,30
5/23/2024 8:34 PM,4,30,30
5/22/2024 3:06 PM,4,30,30
5/20/2024 2:49 PM,4,30,30
5/16/2024 7:14 PM,4,30,30
5/14/2024 9:06 AM,4,30,30
5/13/2024 12:42 PM,4,30,30
5/11/2024 8:43 AM,4,30,30
5/8/2024 3:52 PM,4,30,30
5/7/2024 9:28 PM,4,30,30
5/7/2024 1:37 PM,4,30,30
5/5/2024 4:06 PM,4,30,30
5/2/2024 4:03 PM,4,30,30
5/1/2024 3:36 PM,4,30,30
5/1/2024 10:17 AM,4,30,30
4/29/2024 7:47 PM,4,30,30
4/29/2024 1:40 PM,4,30,30
4/26/2024 10:33 PM,4,30,30
4/25/2024 2:11 PM,4,30,30
4/24/2024 9:08 PM,4,30,30
4/22/2024 8:17 PM,4,30,30
4/21/2024 10:54 AM,4,30,30
4/19/2024 10:23 AM,4,30,30
4/17/2024 2:58 PM,4,30,30
4/17/2024 7:24 AM,4,30,30
4/15/2024 9:18 PM,4,30,30
4/15/2024 1:27 PM,4,30,30
4/11/2024 10:15 PM,4,30,30
4/8/2024 9:22 PM,4,30,30
3/31/2024 9:45 PM,4,30,30
3/31/2024 9:03 AM,4,30,30
3/30/2024 9:15 PM,4,30,30
3/30/2024 1:13 PM,4,30,30
3/28/2024 8:38 AM,4,30,30
3/24/2024 4:51 PM,4,30,30
3/22/2024 10:16 AM,4,30,30
3/21/2024 5:25 PM,4,30,30
3/21/2024 11:10 AM,4,30,30
3/20/2024 3:18 PM,4,30,30
3/19/2024 9:18 AM,4,30,30
3/18/2024 3:22 PM,4,30,30
3/16/2024 5:39 PM,4,30,30
3/15/2024 2:16 PM,4,30,30
3/14/2024 8:13 PM,4,30,30
3/13/2024 8:58 PM,4,30,30
3/13/2024 2:16 PM,4,30,30
3/12/2024 9:55 AM,4,30,30
3/11/2024 8:38 PM,4,30,30
3/11/2024 1:03 PM,4,30,30
3/10/2024 10:00 PM,4,30,30
3/10/2024 4:13 PM,4,30,30
3/9/2024 3:05 PM,4,30,30
3/8/2024 9:43 PM,4,30,30
3/8/2024 1:29 PM,4,30,30
3/7/2024 9:35 PM,4,30,30
3/7/2024 2:41 PM,4,30,30
3/6/2024 9:55 AM,4,30,30
3/5/2024 3:20 PM,4,30,30
